source_file,identifier,title,creation_date,source_url,description,contributors,location,medium,subjects,format,rights,image_url
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-2011645389.json,2011645389,A book mark would be better!,[between 1936 and 1940],https://www.loc.gov/item/2011645389/,WPA poster shows a boy ironing down the page of a book.,"['Gregg, Arlington, artist', 'United States. Works Progress Administration (Ill.), sponsor']",Not found,"['1 print on board (poster) : silkscreen, color ; 35.6 x 28 cm.']","['Books--1930-1940', 'Conservation & restoration--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/31200/31264v.jpg#h=1024&w=823
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-92509203.json,92509203,Don't kill our wild life,[between 1936 and 1940],https://www.loc.gov/item/92509203/,Poster showing two deer crossing road in front of approaching car.,Not found,['united states'],"['1 print on board (poster) : silkscreen, color.']","['United States.--National Park Service--Public relations--1930-1940', 'Wildlife conservation--United States--1930-1940', 'Deer--1930-1940', 'Automobiles--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48900/3b48901v.jpg#h=1024&w=810
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-92517367.json,92517367,Keep your teeth clean,[between 1936 and 1938],https://www.loc.gov/item/92517367/,"Poster promoting good oral hygiene, showing stylized face, toothbrush and toothpaste.",Not found,Not found,"['1 print (poster) : silkscreen, color ; 55.8 x 35.3 cm (board)']",['Dental hygiene--1930-1940'],"photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/38300/38343v.jpg#h=1024&w=663
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-93511155.json,93511155,Don't mix 'em,[1936 or 1937],https://www.loc.gov/item/93511155/,"Poster showing whiskey bottle, gas pump, and a skull.","['Lachenmann, Robert, artist']",['united states'],"['1 print (poster) : lithograph, color.']","['Gasoline pumps--United States--1930-1940', 'Skulls--1930-1940', 'Intoxication--1930-1940', 'Safety--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b49000/3b49000/3b49006v.jpg#h=1024&w=799
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-94502738.json,94502738,Visit the zoo,[1936 or 1937],https://www.loc.gov/item/94502738/,"Poster promoting the zoo as a place to visit, showing an elephant.",Not found,['pennsylvania'],"['1 print (poster) : woodcut, color.']","['Elephants--1930-1940', 'Zoos--Pennsylvania--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b49000/3b49000/3b49068v.jpg#h=1024&w=791
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-96503125.json,96503125,See America / Dux.,[between 1936 and 1939],https://www.loc.gov/item/96503125/,"Poster for the United States Travel Bureau promoting tourism, showing two people in caverns.","['Dux, Alexander, artist']",Not found,"['1 print on board (poster) : silkscreen, color.']","['Caves--1930-1940', 'Tourism--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g04000/3g04200/3g04243v.jpg#h=1024&w=829
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-96510383.json,96510383,"Photographs, second annual exhibition, Sioux City Camera Club",between 1936 and 1939],https://www.loc.gov/item/96510383/,"Poster for the Sioux City Camera Club's second annual exhibition of photographs at the Community Federal Art Center, Sioux City, Iowa, showing stylized man at a camera.",Not found,"['iowa', 'sioux city']","['1 print on board (poster) : silkscreen, color.']","['Photography--1930-1940', 'Cameras--1930-1940', 'Art exhibitions--Iowa--Sioux City--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ds/14900/14977v.jpg#h=1024&w=673
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98507251.json,98507251,Photography exhibition Photographs by the W.P.A. Federal Art Project.,[1941],https://www.loc.gov/item/98507251/,"Poster for Federal Art Project exhibition of photographs at the Hotel Nassau, Long Beach, L.I., showing camera and photograph of buildings.","['Velonis, Anthony, 1911-1997, artist']","['new york', 'long beach']","['1 print on board (poster) : silkscreen, color.']","['Art exhibitions--New York (State)--Long Beach--1940-1950', 'Cameras--1940-1950', 'Photographic prints--1940-1950', 'Skyscrapers--1940-1950']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48827v.jpg#h=1024&w=653
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98507722.json,98507722,In March read the books you've always meant to read,[between 1936 and 1941],https://www.loc.gov/item/98507722/,"Poster for statewide Library Project showing a windblown woman and books by authors such as Scott, Dumas, Thackeray, Dickens, Austen, and others.","['Federal Art Project, sponsor']",['illinois'],"['1 print on board (poster) : silkscreen, color.']","['Reading--Illinois--1930-1950', 'Books--1930-1950', 'Libraries--Illinois--1930-1950']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05175v.jpg#h=1024&w=688
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98508191.json,98508191,Fire wrecks a forest,[between 1936 and 1939],https://www.loc.gov/item/98508191/,Poster for forest fire prevention showing a burning cigarette and a forest fire.,Not found,Not found,"['1 print on board (poster) : silkscreen, color.']","['Fire prevention--1930-1940', 'Forest fires--1930-1940', 'Cigarettes--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48759v.jpg#h=1024&w=659
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98508363.json,98508363,Bands on parade outstanding eastern Illinois high school bands.,1940.,https://www.loc.gov/item/98508363/,"Poster for a high school band parade at Eastern Illinois State Teachers College, Charleston, Saturday, November 9, 1940, showing a profile of a band member wearing a tall hat.","['Federal Art Project, sponsor']","['illinois', 'charleston']","['1 print on board (poster) : silkscreen, color.']","['Marching bands--1940', 'Parades & processions--Illinois--Charleston--1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05169v.jpg#h=1024&w=711
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98508422.json,98508422,"National letter writing week, Oct. 1-7 That letter will be appreciated.",[between 1936 and 1940],https://www.loc.gov/item/98508422/,Poster showing a mail carrier holding a letter.,"['Federal Art Project, sponsor']",Not found,"['1 print on board (poster) : silkscreen, color.']","['Correspondence--1930-1940', 'Letter carriers--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48755v.jpg#h=1024&w=658
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98510373.json,98510373,The vacation reading club - join now at your public library,[between 1936 and 1939],https://www.loc.gov/item/98510373/,"Poster promoting reading, showing a book with abstract design and text.",Not found,['iowa'],"['1 print on board (poster) : silkscreen, color.']","['Reading--Iowa--1930-1940', 'Book clubs--Iowa--1930-1940', 'Libraries--Iowa--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48769v.jpg#h=1024&w=657
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98513398.json,98513398,Balanced diet for the expectant mother Inquire at the Health Bureau.,[between 1936 and 1939],https://www.loc.gov/item/98513398/,"Poster promoting proper diet and prenatal care for pregnant women, showing a bowl of fruit.",Not found,['new york'],"['1 print on board (poster) : silkscreen, color.']","['Prenatal care--New York (State)--1930-1940', 'Women--Health & welfare--New York (State)--1930-1940', 'Fruit--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05300/3f05309v.jpg#h=1024&w=692
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98516613.json,98516613,Keep your fire escapes clear,1936 or 1937],https://www.loc.gov/item/98516613/,Poster for the Tenement House Department of the City of New York advising that tenement house residents keep their fire escapes free of obstructions.,Not found,['new york'],"['1 print on board (poster) : silkscreen, color.']","['Tenement houses--New York (State)--New York--1930-1940', 'Fire escapes--New York (State)--New York--1930-1940', 'Safety--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ds/05000/05007v.jpg#h=1024&w=665
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98517129.json,98517129,Spare our trees,1938.,https://www.loc.gov/item/98517129/,Poster promoting conservation of trees as a natural resource.,"['Clough, Stanley Thomas, 1905-, artist']",['ohio'],"['1 print on board (poster) : silkscreen, color.']","['Trees--Ohio--1930-1940', 'Leaves--1930-1940', 'State parks & reserves--Ohio--1930-1940', 'Conservation of natural resources--Ohio--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48810v.jpg#h=1024&w=655
/Users/julia.cave.arbanas/si676-2024-data/collection_project_WPA/item_metadata/item_metadata-98517179.json,98517179,Let them grow,1938.,https://www.loc.gov/item/98517179/,Poster promoting conservation of flowers as a natural resource.,"['Clough, Stanley Thomas, 1905-, artist']",['ohio'],"['1 print on board (poster) : silkscreen, color.']","['Flowers--Ohio--1930-1940', 'Conservation of natural resources--Ohio--1930-1940']","photo, print, drawing",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48809v.jpg#h=1024&w=657
